n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.920828379350472;0.000000000000000;-inf;0.020828379350472;-1.681344521052206;0.000000000000000;0.000000000000000
2;0.897725859899259;0.023102519451214;-1.636340655428455;0.002274140100741;-2.643182783665577;0.000000000000000;0.000000000000000
3;0.900252629961955;0.002526770062696;-2.597434277290915;0.000252629961955;-3.597515143329580;0.992955800183821;0.106507371683523
4;0.899971930075886;0.000280699886068;-3.551757763638920;0.000028069924114;-4.551758761470330;0.999916194341269;0.111034728240640
5;0.900003118880359;0.000031188804472;-4.506001272278509;0.000003118880359;-5.506001284598195;0.999998965809306;0.111109915718955
6;0.899999653457738;0.000003465422621;-5.460243794048341;0.000000346542262;-6.460243794145736;0.000000000000000;0.000000000000000
