n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.75f;8.52651e-014f;-317.09f;0.15f;-0.823909f;0f;0f
2;1.125f;8.52651e-014f;-317.09f;0.225f;-0.647817f;0f;0f
3;0.9375f;8.52651e-014f;-317.09f;0.0375f;-1.42597f;1f;0.5f
4;0.84375f;8.52651e-014f;-317.09f;0.05625f;-1.24988f;1f;0.5f
5;0.890625f;8.52651e-014f;-317.09f;0.009375f;-2.02803f;1f;0.5f
6;0.914063f;8.52651e-014f;-317.09f;0.0140625f;-1.85194f;1f;0.5f
7;0.902344f;8.52651e-014f;-317.09f;0.00234375f;-2.63009f;1f;0.5f
8;0.896484f;8.52651e-014f;-317.09f;0.00351563f;-2.454f;1f;0.5f
9;0.899414f;8.52651e-014f;-317.09f;0.000585938f;-3.23215f;1f;0.5f
10;0.900879f;8.52651e-014f;-317.09f;0.000878906f;-3.05606f;1f;0.5f
11;0.900146f;8.52651e-014f;-317.09f;0.000146484f;-3.83421f;1f;0.5f
12;0.89978f;8.52651e-014f;-317.09f;0.000219727f;-3.65812f;1f;0.5f
13;0.899963f;8.52651e-014f;-317.09f;3.66211e-005f;-4.43627f;1f;0.5f
14;0.900055f;8.52651e-014f;-317.09f;5.49316e-005f;-4.26018f;1f;0.5f
15;0.900009f;8.52651e-014f;-317.09f;9.15527e-006f;-5.03833f;1f;0.5f
16;0.899986f;8.52651e-014f;-317.09f;1.37329e-005f;-4.86224f;1f;0.5f
17;0.899998f;8.52651e-014f;-317.09f;2.28882e-006f;-5.64039f;1f;0.5f
18;0.900003f;8.52651e-014f;-317.09f;3.43323e-006f;-5.4643f;1f;0.5f
19;0.900001f;8.52651e-014f;-317.09f;5.72205e-007f;-6.24245f;1f;0.5f
20;0.899999f;8.52651e-014f;-317.09f;8.58307e-007f;-6.06636f;1f;0.5f
21;0.9f;8.52651e-014f;-317.09f;1.43051e-007f;-6.84451f;1f;0.5f
22;0.9f;8.52651e-014f;-317.09f;2.14577e-007f;-6.66842f;1f;0.5f
23;0.9f;8.52651e-014f;-317.09f;3.57628e-008f;-7.44657f;1f;0.5f
24;0.9f;8.52651e-014f;-317.09f;5.36442e-008f;-7.27048f;1f;0.5f
25;0.9f;8.52651e-014f;-317.09f;8.9407e-009f;-8.04863f;1f;0.5f
26;0.9f;8.52651e-014f;-317.09f;1.3411e-008f;-7.87254f;1f;0.5f
27;0.9f;8.52651e-014f;-317.09f;2.23517e-009f;-8.65069f;1f;0.5f
28;0.9f;8.52651e-014f;-317.09f;3.35276e-009f;-8.4746f;1f;0.5f
29;0.9f;8.52651e-014f;-317.09f;5.58794e-010f;-9.25275f;1f;0.5f
30;0.9f;8.52651e-014f;-317.09f;8.3819e-010f;-9.07666f;1f;0.5f
31;0.9f;8.52651e-014f;-317.09f;1.39698e-010f;-9.85481f;1f;0.5f
32;0.9f;8.52651e-014f;-317.09f;2.09548e-010f;-9.67872f;1f;0.5f
33;0.9f;8.52651e-014f;-317.09f;3.49246e-011f;-10.4569f;1f;0.5f
34;0.9f;8.52651e-014f;-317.09f;5.23869e-011f;-10.2808f;1f;0.5f
35;0.9f;8.52651e-014f;-317.09f;8.73113e-012f;-11.0589f;1f;0.5f
36;0.9f;8.52651e-014f;-317.09f;1.30967e-011f;-10.8828f;1f;0.5f
37;0.9f;8.52651e-014f;-317.09f;2.18281e-012f;-11.661f;1f;0.5f
38;0.9f;8.52651e-014f;-317.09f;3.27416e-012f;-11.4849f;1f;0.5f
39;0.9f;8.52651e-014f;-317.09f;5.45675e-013f;-12.2631f;1f;0.5f
40;0.9f;8.52651e-014f;-317.09f;8.18567e-013f;-12.0869f;1f;0.5f
41;0.9f;8.52651e-014f;-317.09f;1.36446e-013f;-12.865f;1f;0.5f
42;0.9f;8.52651e-014f;-317.09f;2.04614e-013f;-12.6891f;1f;0.5f
43;0.9f;8.52651e-014f;-317.09f;3.40838e-014f;-13.4675f;1f;0.5f
44;0.9f;8.52651e-014f;-317.09f;5.11813e-014f;-13.2909f;0f;0f
