n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.895556f;3.37325e-008f;247.875f;0.0905665f;-1.04303f;0f;0f
2;0.866414f;3.37325e-008f;247.875f;0.0614253f;-1.21165f;0f;0f
3;0.830871f;3.37325e-008f;247.875f;0.0258819f;-1.587f;-2.4272f;6.66517e-006f
4;0.808922f;3.37325e-008f;247.875f;0.00393314f;-2.40526f;3.60958f;3737.32f
5;0.80507f;3.37325e-008f;247.875f;8.06184e-005f;-4.09357f;2.21926f;18.4752f
6;0.804989f;3.37325e-008f;247.875f;4.26919e-007f;-6.36965f;2.01589f;5.96481f
7;0.804989f;3.37325e-008f;247.875f;4.60652e-007f;-6.33663f;0f;0f
