n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;2.25;5.72205e-006;-316.452;0.418402;-0.378407;0;0
2;2.625;5.72205e-006;-316.452;0.0434016;-1.36249;0;0
3;2.8125;5.72205e-006;-316.452;0.144098;-0.841341;1;0.5
4;2.71875;5.72205e-006;-316.452;0.0503484;-1.29801;1;0.5
5;2.67188;5.72205e-006;-316.452;0.00347335;-2.45925;1;0.5
6;2.64844;5.72205e-006;-316.452;0.0199641;-1.69975;1;0.5
7;2.66016;5.72205e-006;-316.452;0.0082454;-2.08379;1;0.5
8;2.66602;5.72205e-006;-316.452;0.00238602;-2.62233;1;0.5
9;2.66895;5.72205e-006;-316.452;0.000543664;-3.26467;1;0.5
10;2.66748;5.72205e-006;-316.452;0.00092118;-3.03566;1;0.5
11;2.66821;5.72205e-006;-316.452;0.000188758;-3.72409;1;0.5
12;2.66858;5.72205e-006;-316.452;0.000177453;-3.75092;1;0.5
13;2.6684;5.72205e-006;-316.452;5.65263e-006;-5.24775;1;0.5
14;2.66849;5.72205e-006;-316.452;8.59001e-005;-4.06601;1;0.5
15;2.66844;5.72205e-006;-316.452;4.01237e-005;-4.3966;1;0.5
16;2.66842;5.72205e-006;-316.452;1.72356e-005;-4.76357;1;0.5
17;2.66841;5.72205e-006;-316.452;5.79146e-006;-5.23721;1;0.5
18;2.6684;5.72205e-006;-316.452;6.94177e-008;-7.15853;0;0
