n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.810331088632900f;0.000000000000000f;-1.#INF00000000000f;0.005342549284500f;-2.272251462820888f;0.000000000000000f;0.000000000000000f
2;0.806001257377794f;0.004329831255106f;-2.363529028913250f;0.001012718029394f;-2.994511458217934f;0.000000000000000f;0.000000000000000f
3;0.804960078314421f;0.001041179063373f;-2.982474573518144f;0.000028461033979f;-4.545749326206121f;2.522057121478536f;951.657436570371370f
4;0.804988687757773f;0.000028609443352f;-4.543490592096326f;0.000000148409373f;-6.828538670656228f;1.463861627763997f;0.664415096729665f
5;0.804988539370054f;0.000000148387719f;-6.828602042017859f;0.000000000021654f;-10.664461628550667f;0.000000000000000f;0.000000000000000f
