n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;-0.928571;0;-inf;1.82857;0.262112;0;0
2;-0.999586;0.0710142;-1.14865;1.89959;0.278659;0;0
3;-1.06775;0.0681651;-1.16644;1.96775;0.29397;0.920612;0.778087
4;-1.13339;0.0656435;-1.18281;2.03339;0.308222;0.926693;0.7909
5;-1.19678;0.06339;-1.19798;2.09678;0.321554;0.931896;0.802186
6;-1.25814;0.0613597;-1.21212;2.15814;0.33408;0.936399;0.812213
7;-1.31766;0.0595175;-1.22536;2.21766;0.345895;0.940336;0.821187
8;-1.3755;0.0578357;-1.2378;2.2755;0.357076;0.943808;0.829271
9;-1.43179;0.056292;-1.24955;2.33179;0.367689;0.946893;0.836595
10;-1.48666;0.0548683;-1.26068;2.38666;0.37779;0.949653;0.843265
11;-1.54021;0.0535496;-1.27124;2.44021;0.387427;0.952138;0.849368
12;-1.59253;0.0523235;-1.2813;2.49253;0.39664;0.954385;0.854975
13;-1.64371;0.0511796;-1.2909;2.54371;0.405468;0.956429;0.860146
14;-1.69382;0.0501089;-1.30009;2.59382;0.41394;0.958296;0.864932
15;-1.74292;0.0491038;-1.30888;2.64292;0.422084;0.960008;0.869376
16;-1.79108;0.0481579;-1.31733;2.69108;0.429927;0.961583;0.873513
17;-1.83835;0.0472656;-1.32546;2.73835;0.437488;0.963038;0.877376
18;-1.88477;0.0464218;-1.33328;2.78477;0.444789;0.964386;0.880992
19;-1.93039;0.0456224;-1.34082;2.83039;0.451846;0.965637;0.884385
20;-1.97525;0.0448635;-1.34811;2.87525;0.458676;0.966804;0.887574
21;-2.0194;0.0441419;-1.35515;2.9194;0.465293;0.967892;0.890579
22;-2.06285;0.0434544;-1.36197;2.96285;0.47171;0.968912;0.893416
23;-2.10565;0.0427985;-1.36857;3.00565;0.477938;0.969867;0.896098
24;-2.14782;0.0421719;-1.37498;3.04782;0.483989;0.970766;0.898639
25;-2.18939;0.0415723;-1.3812;3.08939;0.489873;0.971612;0.901049
26;-2.23039;0.040998;-1.38724;3.13039;0.495599;0.97241;0.903338
27;-2.27084;0.0404471;-1.39311;3.17084;0.501174;0.973164;0.905516
28;-2.31076;0.039918;-1.39883;3.21076;0.506607;0.973877;0.907591
29;-2.35017;0.0394095;-1.4044;3.25017;0.511905;0.974554;0.909571
30;-2.38909;0.0389201;-1.40983;3.28909;0.517075;0.975196;0.911461
31;-2.42753;0.0384487;-1.41512;3.32753;0.522123;0.975806;0.913268
32;-2.46553;0.0379943;-1.42028;3.36553;0.527053;0.976386;0.914997
33;-2.50308;0.0375557;-1.42532;3.40308;0.531873;0.97694;0.916654
34;-2.54022;0.0371322;-1.43025;3.44022;0.536586;0.977467;0.918243
35;-2.57694;0.0367228;-1.43506;3.47694;0.541197;0.977971;0.919769
36;-2.61327;0.0363268;-1.43977;3.51327;0.545711;0.978453;0.921234
