n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.914814814814815;0.000000000000000;-inf;0.014814814814815;-1.829303772831024;0.000000000000000;0.000000000000000
2;0.900051933403525;0.014762881411290;-1.830828868875203;0.000051933403525;-4.284553214406312;0.000000000000000;0.000000000000000
3;0.900000000002241;0.000051933401284;-4.284553233147539;0.000000000002241;-11.649539501273781;3.001554035720047;16.247200761323203
4;0.900000000000000;0.000000000002241;-11.649539501273781;0.000000000000000;-inf;0.000000000000000;0.000000000000000
