n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.810331088632900;0.000000000000000;-inf;0.005342549284500;-2.272251462820888;0.000000000000000;0.000000000000000
2;0.806001257377794;0.004329831255106;-2.363529028913250;0.001012718029394;-2.994511458217934;0.000000000000000;0.000000000000000
3;0.804960078314421;0.001041179063373;-2.982474573518144;0.000028461033979;-4.545749326206121;2.522057121478536;951.657436570371374
4;0.804988687757773;0.000028609443352;-4.543490592096326;0.000000148409373;-6.828538670656228;1.463861627763997;0.664415096729665
5;0.804988539370054;0.000000148387719;-6.828602042017859;0.000000000021654;-10.664461628550667;1.678599139099884;6.281991643971105
6;0.804988539348396;0.000000000021658;-10.664388154603431;0.000000000000004;-14.436075830313117;0.943249610759192;0.000059798193415
7;0.804988539348391;0.000000000000005;-14.282491912255287;0.000000000000009;-14.051499783199059;0.000000000000000;0.000000000000000
