n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;2.65878;0;-inf;0.00961982;-2.01683;0;0
2;2.66637;0.00758333;-2.12014;0.00203649;-2.69112;0;0
3;2.66798;0.00160994;-2.79319;0.000426545;-3.37003;1.00833;0.221106
4;2.66831;0.000337408;-3.47184;8.91371e-05;-4.04994;1.00176;0.211971
5;2.66838;7.05186e-05;-4.1517;1.86185e-05;-4.73006;1.00037;0.20962
6;2.6684;1.47299e-05;-4.8318;3.88853e-06;-5.41021;1.00008;0.209034
7;2.6684;3.07642e-06;-5.51195;8.12117e-07;-6.09038;1.00002;0.208892
8;2.6684;6.42508e-07;-6.19212;1.69609e-07;-6.77055;1;0.208858
9;2.6684;1.34187e-07;-6.87229;3.54226e-08;-7.45072;1;0.20885
10;2.6684;2.80247e-08;-7.55246;7.39794e-09;-8.13089;1;0.208849
11;2.6684;5.85289e-09;-8.23263;1.54505e-09;-8.81106;1;0.208848
12;2.6684;1.22237e-09;-8.9128;3.2268e-10;-9.49123;1;0.208849
13;2.6684;2.55289e-10;-9.59297;6.7391e-11;-10.1714;1;0.208852
14;2.6684;5.33165e-11;-10.2731;1.40745e-11;-10.8516;0.999996;0.208829
15;2.6684;1.11351e-11;-10.9533;2.93943e-12;-11.5317;0.999961;0.208657
16;2.6684;2.3257e-12;-11.6334;6.13731e-13;-12.212;1.00047;0.211366
17;2.6684;4.8539e-13;-12.3139;1.28342e-13;-12.8916;0.997534;0.195368
18;2.6684;1.01696e-13;-12.9927;2.66454e-14;-13.5744;1.01319;0.304531
19;2.6684;2.08722e-14;-13.6804;5.77316e-15;-14.2386;0;0
