n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;1.19907f;8.76311e-006f;228.682f;1.46933f;0.167119f;0f;0f
2;1.83893f;8.76311e-006f;228.682f;0.829476f;-0.0811963f;0f;0f
3;2.31231f;8.76311e-006f;228.682f;0.356091f;-0.448439f;2.17503f;1.25025f
4;2.55811f;8.76311e-006f;228.682f;0.110292f;-0.957458f;1.6437f;0.84029f
5;2.64181f;8.76311e-006f;228.682f;0.026591f;-1.57526f;1.29115f;0.512366f
6;2.66264f;8.76311e-006f;228.682f;0.00576243f;-2.23939f;1.09381f;0.314041f
7;2.66719f;8.76311e-006f;228.682f;0.00121331f;-2.91603f;1.02294f;0.238696f
8;2.66815f;8.76311e-006f;228.682f;0.000253834f;-3.59545f;1.00499f;0.216668f
9;2.66835f;8.76311e-006f;228.682f;5.30319e-005f;-4.27546f;1.00105f;0.210818f
10;2.66839f;8.76311e-006f;228.682f;1.10764e-005f;-4.9556f;1.00022f;0.209331f
11;2.6684f;8.76311e-006f;228.682f;2.31333e-006f;-5.63576f;0f;0f
