n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.666392;0;-inf;0.138597;-0.858248;0;0
2;0.758027;0.0916349;-1.03794;0.0469617;-1.32826;0;0
3;0.796733;0.038706;-1.41222;0.00825569;-2.08325;1.83991;3.14408
4;0.80466;0.00792743;-2.10087;0.00032826;-3.48378;2.00922;5.45257
5;0.804988;0.000327709;-3.48451;5.51258e-07;-6.25864;2.00495;5.34094
6;0.804989;5.51257e-07;-6.25865;1.56419e-12;-11.8057;2.00009;5.13674
7;0.804989;1.55898e-12;-11.8072;5.21805e-15;-14.2825;0.595174;8.27602e-09
8;0.804989;7.77156e-16;-15.1095;4.44089e-15;-14.3525;0;0
