n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.747541f;6.04737e-006f;247.875f;1.92086f;0.283496f;0f;0f
2;1.10912f;6.04737e-006f;247.875f;1.55928f;0.192925f;0f;0f
3;1.60601f;6.04737e-006f;247.875f;1.06239f;0.0262827f;0.410786f;0.754658f
4;2.17223f;6.04737e-006f;247.875f;0.496173f;-0.304367f;-2.778f;0.0811343f
5;2.56617f;6.04737e-006f;247.875f;0.102237f;-0.990394f;3.82866f;3.47682f
6;2.66439f;6.04737e-006f;247.875f;0.00401506f;-2.39631f;2.30292f;0.839283f
7;2.6684f;6.04737e-006f;247.875f;6.04738e-006f;-5.21843f;2.03105f;0.446596f
8;2.6684f;6.04737e-006f;247.875f;1.3705e-011f;-10.8631f;0f;0f
