n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.625f;8.39233e-006f;-317.09f;0.179989f;-0.744754f;0f;0f
2;0.7625f;8.39233e-006f;-317.09f;0.042489f;-1.37172f;0f;0f
3;0.83125f;8.39233e-006f;-317.09f;0.026261f;-1.58069f;1f;0.5f
4;0.796875f;8.39233e-006f;-317.09f;0.008114f;-2.09076f;1f;0.5f
5;0.814063f;8.39233e-006f;-317.09f;0.0090735f;-2.04223f;1f;0.5f
6;0.805469f;8.39233e-006f;-317.09f;0.00047975f;-3.31899f;1f;0.5f
7;0.801172f;8.39233e-006f;-317.09f;0.00381712f;-2.41826f;1f;0.5f
8;0.80332f;8.39233e-006f;-317.09f;0.00166869f;-2.77762f;1f;0.5f
9;0.804395f;8.39233e-006f;-317.09f;0.000594469f;-3.22587f;1f;0.5f
10;0.804932f;8.39233e-006f;-317.09f;5.73594e-005f;-4.2414f;1f;0.5f
11;0.8052f;8.39233e-006f;-317.09f;0.000211195f;-3.67532f;1f;0.5f
12;0.805066f;8.39233e-006f;-317.09f;7.6918e-005f;-4.11397f;1f;0.5f
13;0.804999f;8.39233e-006f;-317.09f;9.7793e-006f;-5.00969f;1f;0.5f
14;0.804965f;8.39233e-006f;-317.09f;2.379e-005f;-4.6236f;1f;0.5f
15;0.804982f;8.39233e-006f;-317.09f;7.00537e-006f;-5.15457f;1f;0.5f
16;0.80499f;8.39233e-006f;-317.09f;1.38696e-006f;-5.85794f;0f;0f
