n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.625;0;-inf;0.179989;-0.744755;0;0
2;0.7625;0.1375;-0.861697;0.0424885;-1.37173;0;0
3;0.83125;0.06875;-1.16273;0.0262615;-1.58068;1;0.5
4;0.796875;0.034375;-1.46376;0.00811354;-2.09079;1;0.5
5;0.814063;0.0171875;-1.76479;0.00907396;-2.0422;1;0.5
6;0.805469;0.00859375;-2.06582;0.000480211;-3.31857;1;0.5
7;0.801172;0.00429687;-2.36685;0.00381666;-2.41832;1;0.5
8;0.80332;0.00214844;-2.66788;0.00166823;-2.77774;1;0.5
9;0.804395;0.00107422;-2.96891;0.000594008;-3.22621;1;0.5
10;0.804932;0.000537109;-3.26994;5.68987e-05;-4.2449;1;0.5
11;0.8052;0.000268555;-3.57097;0.000211656;-3.67437;1;0.5
12;0.805066;0.000134277;-3.872;7.73786e-05;-4.11138;1;0.5
13;0.804999;6.71387e-05;-4.17303;1.02399e-05;-4.9897;1;0.5
14;0.804965;3.35693e-05;-4.47406;2.33294e-05;-4.6321;1;0.5
15;0.804982;1.67847e-05;-4.77509;6.54472e-06;-5.18411;1;0.5
16;0.80499;8.39233e-06;-5.07612;1.84761e-06;-5.73339;1;0.5
17;0.804986;4.19617e-06;-5.37715;2.34855e-06;-5.6292;1;0.5
18;0.804988;2.09808e-06;-5.67818;2.50469e-07;-6.60125;1;0.5
19;0.804989;1.04904e-06;-5.97921;7.98573e-07;-6.09769;1;0.5
20;0.804989;5.24521e-07;-6.28024;2.74052e-07;-6.56217;1;0.5
21;0.804989;2.6226e-07;-6.58127;1.17914e-08;-7.92843;1;0.5
22;0.804988;1.3113e-07;-6.8823;1.19339e-07;-6.92322;1;0.5
23;0.804988;6.55651e-08;-7.18333;5.37737e-08;-7.26943;1;0.5
24;0.804989;3.27826e-08;-7.48436;2.09911e-08;-7.67796;1;0.5
25;0.804989;1.63913e-08;-7.78539;4.59985e-09;-8.33726;1;0.5
26;0.804989;8.19564e-09;-8.08642;3.59579e-09;-8.44421;1;0.5
27;0.804989;4.09782e-09;-8.38745;5.02026e-10;-9.29927;1;0.5
28;0.804989;2.04891e-09;-8.68848;1.54688e-09;-8.81054;1;0.5
29;0.804989;1.02445e-09;-8.98951;5.22429e-10;-9.28197;1;0.499999
30;0.804989;5.12227e-10;-9.29054;1.02012e-11;-10.9913;0.999999;0.499994
31;0.804989;2.56114e-10;-9.59157;2.45913e-10;-9.60922;1;0.500007
32;0.804989;1.28057e-10;-9.8926;1.17856e-10;-9.92865;1;0.5
33;0.804989;6.40284e-11;-10.1936;5.38273e-11;-10.269;0.999997;0.499972
34;0.804989;3.20143e-11;-10.4947;2.1813e-11;-10.6613;1.00001;0.500089
35;0.804989;1.60071e-11;-10.7957;5.80591e-12;-11.2361;1.00001;0.500059
36;0.804989;8.00349e-12;-11.0967;2.19758e-12;-11.6581;1.00001;0.500121
37;0.804989;4.00169e-12;-11.3978;1.80411e-12;-11.7437;0.99998;0.499737
38;0.804989;2.00084e-12;-11.6988;1.96732e-13;-12.7061;1;0.5
39;0.804989;1.00042e-12;-11.9998;8.0369e-13;-12.0949;1.00016;0.502161
40;0.804989;5.00155e-13;-12.3009;3.03535e-13;-12.5178;0.99952;0.493354
41;0.804989;2.50133e-13;-12.6018;5.34017e-14;-13.2724;0.99968;0.495597
42;0.804989;1.25122e-13;-12.9027;7.17204e-14;-13.1444;0.99936;0.491022
43;0.804989;6.26166e-14;-13.2033;9.10383e-15;-14.0408;0;0
