n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.75f;5.72205e-006f;-317.09f;0.15f;-0.823909f;0f;0f
2;1.125f;5.72205e-006f;-317.09f;0.225f;-0.647817f;0f;0f
3;0.9375f;5.72205e-006f;-317.09f;0.0375f;-1.42597f;1f;0.5f
4;0.84375f;5.72205e-006f;-317.09f;0.05625f;-1.24988f;1f;0.5f
5;0.890625f;5.72205e-006f;-317.09f;0.009375f;-2.02803f;1f;0.5f
6;0.914063f;5.72205e-006f;-317.09f;0.0140625f;-1.85194f;1f;0.5f
7;0.902344f;5.72205e-006f;-317.09f;0.00234375f;-2.63009f;1f;0.5f
8;0.896484f;5.72205e-006f;-317.09f;0.00351563f;-2.454f;1f;0.5f
9;0.899414f;5.72205e-006f;-317.09f;0.000585938f;-3.23215f;1f;0.5f
10;0.900879f;5.72205e-006f;-317.09f;0.000878906f;-3.05606f;1f;0.5f
11;0.900146f;5.72205e-006f;-317.09f;0.000146484f;-3.83421f;1f;0.5f
12;0.89978f;5.72205e-006f;-317.09f;0.000219727f;-3.65812f;1f;0.5f
13;0.899963f;5.72205e-006f;-317.09f;3.66211e-005f;-4.43627f;1f;0.5f
14;0.900055f;5.72205e-006f;-317.09f;5.49316e-005f;-4.26018f;1f;0.5f
15;0.900009f;5.72205e-006f;-317.09f;9.15527e-006f;-5.03833f;1f;0.5f
16;0.899986f;5.72205e-006f;-317.09f;1.37329e-005f;-4.86224f;1f;0.5f
17;0.899998f;5.72205e-006f;-317.09f;2.28882e-006f;-5.64039f;1f;0.5f
18;0.900003f;5.72205e-006f;-317.09f;3.43323e-006f;-5.4643f;0f;0f
