n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.889762864119809;0.000000000000000;-inf;0.010237135880191;-1.989821532170326;0.000000000000000;0.000000000000000
2;0.902171641383713;0.012408777263904;-1.906271010902693;0.002171641383713;-2.663211890838963;0.000000000000000;0.000000000000000
3;0.899999282678135;0.002172358705578;-2.663068461315850;0.000000717321865;-6.144285930965517;4.599922050318844;1275350.614091385621578
4;0.900000000013527;0.000000717335392;-6.144277741096412;0.000000000013527;-10.868789186598031;0.000000000000000;0.000000000000000
