n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.666391971578215f;0.000000000000000f;-1.#INF00000000000f;0.138596567770185f;-0.858247524536086f;0.000000000000000f;0.000000000000000f
2;0.758026845435878f;0.091634873857663f;-1.037939213651110f;0.046961693912522f;-1.328256246436904f;0.000000000000000f;0.000000000000000f
3;0.796732853045357f;0.038706007609479f;-1.412221622341376f;0.008255686303043f;-2.083246817587702f;1.839910572639364f;3.144080887820075f
4;0.804660279411145f;0.007927426365788f;-2.100867783243524f;0.000328259937255f;-3.483782117851855f;2.009223825029803f;5.452573726771409f
5;0.804987988090081f;0.000327708678936f;-3.484512056743427f;0.000000551258319f;-6.258644843748336f;2.004947422521502f;5.340936202229351f
6;0.804988539346835f;0.000000551256754f;-6.258646076583694f;0.000000000001565f;-11.805524689983383f;0.000000000000000f;0.000000000000000f
