n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.771695495188047f;0.000000000000000f;-1.#INF00000000000f;0.033293044160353f;-1.477646493170155f;0.000000000000000f;0.000000000000000f
2;0.778599569607522f;0.006904074419476f;-2.160894535978615f;0.026388969740878f;-1.578577564860885f;0.000000000000000f;0.000000000000000f
3;0.783895714992361f;0.005296145384839f;-2.276040101558018f;0.021092824356039f;-1.675865263782704f;0.941101679942222f;0.572244169518498f
4;0.788022351473874f;0.004126636481512f;-2.384403786762692f;0.016966187874526f;-1.770415728161992f;0.953150473986826f;0.609543795323644f
5;0.791275540624960f;0.003253189151087f;-2.487690684678486f;0.013712998723440f;-1.862867564420029f;0.962427058819997f;0.641392738619084f
6;0.793863176776269f;0.002587636151309f;-2.587096790054225f;0.011125362572131f;-1.953685826593346f;0.969685642487884f;0.668622750584427f
7;0.795935753119777f;0.002072576343508f;-2.683489463212716f;0.009052786228623f;-2.043217734884729f;0.975432225036106f;0.691907622493742f
8;0.797604867186082f;0.001669114066305f;-2.777513982868882f;0.007383672162318f;-2.131727594384243f;0.980021533794219f;0.711809003173827f
9;0.798954886442284f;0.001350019256201f;-2.869660036836582f;0.006033652906116f;-2.219419676808367f;0.983710800219094f;0.728803527267720f
10;0.800050594599060f;0.001095708156776f;-2.960305105322180f;0.004937944749340f;-2.306453773697490f;0.986691518882111f;0.743299969700175f
11;0.800942371408490f;0.000891776809431f;-3.049743825625408f;0.004046167939910f;-2.392956095400496f;0.989109201958195f;0.755650883838773f
12;0.801669801919773f;0.000727430511283f;-3.138208486888696f;0.003318737428627f;-2.479027106678310f;0.991076217237589f;0.766161081324851f
13;0.802264253233628f;0.000594451313854f;-3.225883708732720f;0.002724286114772f;-2.564747283124346f;0.992680448395929f;0.775094221594451f
14;0.802750753197926f;0.000486499964299f;-3.312917187266058f;0.002237786150474f;-2.650181418302196f;0.993991326529801f;0.782678203711564f
15;0.803149385318537f;0.000398632120611f;-3.399427710045914f;0.001839154029863f;-2.735381896907563f;0.995064146709922f;0.789109740180760f
16;0.803476340911153f;0.000326955592616f;-3.485511229577281f;0.001512198437247f;-2.820391215086948f;0.995943229639944f;0.794558326005393f
17;0.803744723582891f;0.000268382671739f;-3.571245528038123f;0.001243815765509f;-2.905243942754857f;0.996664283078480f;0.799169724315064f
18;0.803965171580749f;0.000220447997857f;-3.656693841148835f;0.001023367767651f;-2.989968265839287f;0.997256195418487f;0.803069046996822f
19;0.804146344089932f;0.000181172509183f;-3.741907700786551f;0.000842195258468f;-3.074587207972687f;0.997742416373234f;0.806363475840682f
20;0.804295304485524f;0.000148960395593f;-3.826929183009975f;0.000693234862876f;-3.159119604680356f;0.998142032544584f;0.809144665079323f
21;0.804417824574046f;0.000122520088521f;-3.911792698086418f;0.000570714774354f;-3.243580884525592f;0.998470613985990f;0.811490860595885f
22;0.804518627601565f;0.000100803027519f;-3.996526424089803f;0.000469911746835f;-3.327983698365029f;0.998740884239391f;0.813468750574393f
23;0.804601583360229f;0.000082955758664f;-4.081153460523321f;0.000386955988171f;-3.412338428214452f;0.998963256986323f;0.815135096820837f
24;0.804669865518443f;0.000068282158214f;-4.165692760468049f;0.000318673829957f;-3.496653600071424f;0.999146264189792f;0.816538136280013f
25;0.804726078952089f;0.000056213433647f;-4.250159886185045f;0.000262460396311f;-3.580936219729873f;0.999296904728526f;0.817718824027704f
26;0.804772363111056f;0.000046284158967f;-4.334567623465353f;0.000216176237344f;-3.665192046541523f;0.999420922820590f;0.818711879646138f
27;0.804810476144666f;0.000038113033610f;-4.418926482151237f;0.000178063203734f;-3.749425817011539f;0.999523036732778f;0.819546711107358f
28;0.804841863512373f;0.000031387367707f;-4.503245104760263f;0.000146675836027f;-3.833641427699821f;0.999607124951226f;0.820248210228247f
29;0.804867714039258f;0.000025850526886f;-4.587530600686319f;0.000120825309142f;-3.917842085008746f;0.999676375170392f;0.820837411468873f
30;0.804889005780535f;0.000021291741277f;-4.671788819733117f;0.000099533567865f;-4.002030427997414f;0.999733410346123f;0.821332092686260f
31;0.804906543593073f;0.000017537812538f;-4.756024576410464f;0.000081995755327f;-4.086208629150291f;0.999780387582530f;0.821747252097431f
32;0.804920989944190f;0.000014446351117f;-4.840241833869650f;0.000067549404210f;-4.170378477129394f;0.999819082220071f;0.822095541966310f
33;0.804932890195832f;0.000011900251642f;-4.924443854929583f;0.000055649152568f;-4.254541444770609f;0.999850956867965f;0.822387639292504f
34;0.804942693368988f;0.000009803173156f;-5.008633326256574f;0.000045845979412f;-4.338698744960765f;0.999877213880087f;0.822632522728340f
35;0.804950769205895f;0.000008075836907f;-5.092812460285044f;0.000037770142505f;-4.422851376598310f;0.999898843031373f;0.822837749705609f
36;0.804957422196666f;0.000006652990771f;-5.176983079007494f;0.000031117151734f;-4.507000162417352f;0.999916663059045f;0.823009715207782f
37;0.804962903114819f;0.000005480918153f;-5.261146683208061f;0.000025636233581f;-4.591145780063584f;0.999931341017395f;0.823153727990226f
38;0.804967418507152f;0.000004515392332f;-5.345304508821192f;0.000021120841248f;-4.675288787742728f;0.999943435140713f;0.823274337973126f
39;0.804971138502750f;0.000003719995598f;-5.429457574058758f;0.000017400845650f;-4.759429645262066f;0.999953397688915f;0.823375293425776f
40;0.804974203240250f;0.000003064737500f;-5.513606717569000f;0.000014336108150f;-4.843568731402391f;0.999961605757370f;0.823459788855004f
41;0.804976728158781f;0.000002524918531f;-5.597752630236609f;0.000011811189619f;-4.927706358198636f;0.999968367507856f;0.823530481080158f
42;0.804978808354120f;0.000002080195339f;-5.681895881159296f;0.000009730994280f;-5.011842782715521f;0.999973939165463f;0.823589624861025f
43;0.804980522165652f;0.000001713811532f;-5.766036939238643f;0.000008017182748f;-5.095978216721845f;0.999978529284803f;0.823639085172188f
44;0.804981934130254f;0.000001411964603f;-5.850176190749297f;0.000006605218146f;-5.180112834674917f;0.999982312439652f;0.823680456082910f
45;0.804983097415034f;0.000001163284780f;-5.934313954041861f;0.000005441933366f;-5.264246780267379f;0.999985423247557f;0.823714972498495f
46;0.804984055821001f;0.000000958405967f;-6.018450490879079f;0.000004483527399f;-5.348380171949223f;0.999987993842296f;0.823743906227494f
47;0.804984845433443f;0.000000789612441f;-6.102586017559767f;0.000003693914957f;-5.432513107251671f;0.999990106276226f;0.823768020939921f
48;0.804985495981356f;0.000000650547913f;-6.186720711826794f;0.000003043367044f;-5.516645666558213f;0.999991850452718f;0.823788210659065f
49;0.804986031957277f;0.000000535975921f;-6.270854720434152f;0.000002507391123f;-5.600777916063899f;0.999993284139175f;0.823805035477634f
50;0.804986473539759f;0.000000441582482f;-6.354988164009218f;0.000002065808641f;-5.684909910327648f;0.999994462241867f;0.823819049206565f
51;0.804986837353299f;0.000000363813540f;-6.439121141673623f;0.000001701995101f;-5.769041694382235f;0.999995460594126f;0.823831084293781f
52;0.804987137094376f;0.000000299741076f;-6.523253737424295f;0.000001402254024f;-5.853173304931215f;0.999996224203407f;0.823840411554475f
53;0.804987384047193f;0.000000246952817f;-6.607386015507397f;0.000001155301207f;-5.937304772790493f;0.999996913521277f;0.823848941472112f
54;0.804987587508563f;0.000000203461371f;-6.691518033918015f;0.000000951839837f;-6.021436122966088f;0.999997450921741f;0.823855677327730f
55;0.804987755137952f;0.000000167629389f;-6.775649837869533f;0.000000784210448f;-6.105567376144471f;0.999997907373964f;0.823861471459041f
56;0.804987893245856f;0.000000138107904f;-6.859781465764646f;0.000000646102544f;-6.189698549225088f;0.999998243565326f;0.823865792700421f
57;0.804988007031391f;0.000000113785535f;-6.943912945888052f;0.000000532317009f;-6.273829656673680f;0.999998584997992f;0.823870235826937f
58;0.804988100778027f;0.000000093746636f;-7.028044306965246f;0.000000438570373f;-6.357960709907857f;0.999998850631384f;0.823873734975321f
59;0.804988178014855f;0.000000077236828f;-7.112175571344491f;0.000000361333545f;-6.442091718008721f;0.999999028395696f;0.823876105017300f
60;0.804988241649444f;0.000000063634589f;-7.196306753981440f;0.000000297698956f;-6.526222688801644f;0.999999179538729f;0.823878144259159f
61;0.804988294077304f;0.000000052427860f;-7.280437867592011f;0.000000245271096f;-6.610353629066611f;0.999999355364256f;0.823880544588855f
62;0.804988337272065f;0.000000043194761f;-7.364568926968659f;0.000000202076335f;-6.694484543870897f;0.999999475114598f;0.823882198509367f
63;0.804988372859776f;0.000000035587711f;-7.448699942186142f;0.000000166488624f;-6.778615437211395f;0.999999496177752f;0.823882492783190f
64;0.804988402180122f;0.000000029320346f;-7.532830915016548f;0.000000137168278f;-6.862746313560560f;0.999999712612087f;0.823885551141795f
65;0.804988426336852f;0.000000024156730f;-7.616961863668729f;0.000000113011548f;-6.946877174454627f;0.999999640601108f;0.823884522085249f
66;0.804988446239333f;0.000000019902481f;-7.701092782084340f;0.000000093109067f;-7.031008023053206f;0.999999721992193f;0.823885698176343f
67;0.804988462636783f;0.000000016397450f;-7.785223677110900f;0.000000076711617f;-7.115138861727595f;0.999999919452375f;0.823888582973638f
68;0.804988476146474f;0.000000013509692f;-7.869354565360915f;0.000000063201926f;-7.199269689804973f;0.999999580404140f;0.823883575537309f
69;0.804988487276972f;0.000000011130498f;-7.953485418309958f;0.000000052071428f;-7.283400512565924f;1.000000096763068f;0.823891284117041f
70;0.804988496447276f;0.000000009170304f;-8.037616279399760f;0.000000042901124f;-7.367531327133914f;0.999999702768552f;0.823885339393041f
71;0.804988504002596f;0.000000007555320f;-8.121747115483226f;0.000000035345804f;-7.451662137102876f;1.000000270027186f;0.823893988935340f
72;0.804988510227348f;0.000000006224752f;-8.205877974284304f;0.000000029121052f;-7.535792936633762f;0.999999354154306f;0.823879877604764f
73;0.804988515355858f;0.000000005128510f;-8.290008778749828f;0.000000023992542f;-7.619923735109845f;1.000000849514606f;0.823903156192066f
74;0.804988519581185f;0.000000004225327f;-8.374139654685701f;0.000000019767215f;-7.704054517028565f;0.999998806484933f;0.823871026019970f
75;0.804988523062390f;0.000000003481205f;-8.458270430210105f;0.000000016286010f;-7.788185300314097f;1.000000828328671f;0.823903145697072f
76;0.804988525930519f;0.000000002868129f;-8.542401275422442f;0.000000013417881f;-7.872316070362508f;0.999999418679831f;0.823880526437066f
77;0.804988528293542f;0.000000002363023f;-8.626532071727823f;0.000000011054858f;-7.956446834798381f;1.000000659513662f;0.823900634897491f
78;0.804988530240413f;0.000000001946871f;-8.710662923518612f;0.000000009107987f;-8.040577580561772f;0.999999108719676f;0.823875255916139f
79;0.804988531844420f;0.000000001604007f;-8.794793700325229f;0.000000007503980f;-8.124708319689541f;0.999999054445835f;0.823874359068469f
80;0.804988533165945f;0.000000001321526f;-8.878924397581640f;0.000000006182455f;-8.208839067767491f;1.000003226192341f;0.823943963771994f
81;0.804988534254737f;0.000000001088791f;-8.963055366259862f;0.000000005093663f;-8.292969768691217f;0.999997155609713f;0.823841710515475f
82;0.804988535151781f;0.000000000897044f;-9.047186095636773f;0.000000004196619f;-8.377100463532960f;1.000003862966134f;0.823955760961608f
83;0.804988535890846f;0.000000000739065f;-9.131317150007844f;0.000000003457554f;-8.461231081523890f;0.999995429770884f;0.823811021446095f
84;0.804988536499755f;0.000000000608909f;-9.215447819880719f;0.000000002848645f;-8.545361688424855f;1.000002068993280f;0.823926028437650f
85;0.804988537001429f;0.000000000501674f;-9.299578663819386f;0.000000002346971f;-8.629492244658122f;0.999997917372350f;0.823853448110866f
86;0.804988537414753f;0.000000000413324f;-9.383709332544830f;0.000000001933647f;-8.713622776845780f;1.000000325974302f;0.823895939913773f
87;0.804988537755286f;0.000000000340534f;-9.467840028694711f;0.000000001593114f;-8.797753273985929f;1.000000650288229f;0.823901713288124f
88;0.804988538035849f;0.000000000280562f;-9.551970779553793f;0.000000001312551f;-8.881883716892787f;1.000005021190793f;0.823980224887215f
89;0.804988538267001f;0.000000000231152f;-9.636101952849426f;0.000000001081399f;-8.966014003676753f;0.999989145113414f;0.823692556029962f
90;0.804988538457445f;0.000000000190444f;-9.720232212910716f;0.000000000890955f;-9.050144296172769f;1.000007376727748f;0.824025825234816f
91;0.804988538614350f;0.000000000156905f;-9.804363093578029f;0.000000000734050f;-9.134274462945550f;0.999999284865399f;0.823876599986139f
92;0.804988538743623f;0.000000000129272f;-9.888493914080438f;0.000000000604777f;-9.218404489982062f;0.999991362033761f;0.823729253822857f
93;0.804988538850129f;0.000000000106506f;-9.972624007863660f;0.000000000498271f;-9.302534502751319f;0.999996747138150f;0.823830260731828f
94;0.804988538937879f;0.000000000087750f;-10.056753827983309f;0.000000000410521f;-9.386664556699856f;1.000020611408342f;0.824281835878868f
95;0.804988539010175f;0.000000000072296f;-10.140885382137036f;0.000000000338225f;-9.470794289976805f;1.000008072093183f;0.824042526342743f
96;0.804988539069739f;0.000000000059564f;-10.225017615408506f;0.000000000278661f;-9.554923488878366f;0.999987921345875f;0.823654884923036f
97;0.804988539118813f;0.000000000049074f;-10.309148832475831f;0.000000000229587f;-9.639052256398459f;0.999980972677430f;0.823520146612569f
98;0.804988539159244f;0.000000000040432f;-10.393278448751349f;0.000000000189156f;-9.723180842498424f;0.999978676111903f;0.823475253498678f
99;0.804988539192556f;0.000000000033311f;-10.477406271056344f;0.000000000155844f;-9.807309591858337f;1.000085707827532f;0.825587222866231f
100;0.804988539220001f;0.000000000027445f;-10.561541303774225f;0.000000000128399f;-9.891436998170942f;0.999964725219771f;0.823181078174724f
101;0.804988539242612f;0.000000000022611f;-10.645673368647318f;0.000000000105788f;-9.975563408746636f;1.000001720501964f;0.823922013143861f
102;0.804988539261241f;0.000000000018629f;-10.729805578269792f;0.000000000087159f;-10.059688579832029f;0.999918284668434f;0.822238627956833f
103;0.804988539276590f;0.000000000015349f;-10.813930913000862f;0.000000000071810f;-10.143813715940029f;1.000071149212321f;0.825349861005505f
104;0.804988539289235f;0.000000000012646f;-10.898062233183234f;0.000000000059165f;-10.227937530284532f;1.000097677272945f;0.825895224805923f
105;0.804988539299654f;0.000000000010418f;-10.982201771083531f;0.000000000048746f;-10.312057984031371f;1.000018456699602f;0.824255026704904f
106;0.804988539308237f;0.000000000008583f;-11.066342861922003f;0.000000000040163f;-10.396174027233979f;0.999843584225583f;0.820618152518722f
107;0.804988539315309f;0.000000000007072f;-11.150470791766592f;0.000000000033091f;-10.480287530147550f;0.999475168842896f;0.812950511458144f
108;0.804988539321136f;0.000000000005827f;-11.234554568652415f;0.000000000027264f;-10.564407385955819f;1.001140194457160f;0.848457177860947f
109;0.804988539325936f;0.000000000004800f;-11.318734217394582f;0.000000000022464f;-10.648514463660755f;0.999641203832572f;0.816186554531646f
110;0.804988539329891f;0.000000000003955f;-11.402883662801404f;0.000000000018509f;-10.732612488429822f;0.998861161940810f;0.799761234155772f
111;0.804988539333150f;0.000000000003259f;-11.486937275617136f;0.000000000015250f;-10.816720002968122f;1.001269010598716f;0.851955218408126f
112;0.804988539335834f;0.000000000002685f;-11.571097553358392f;0.000000000012566f;-10.900816243407004f;0.999211136434222f;0.806822676496212f
113;0.804988539338046f;0.000000000002212f;-11.655191440122854f;0.000000000010353f;-10.984912986728366f;1.000441172044658f;0.833702220105454f
114;0.804988539339869f;0.000000000001823f;-11.739322426759282f;0.000000000008531f;-11.069002414001348f;1.000752502300043f;0.840697143393741f
115;0.804988539341370f;0.000000000001501f;-11.823516722156658f;0.000000000007030f;-11.153069440663840f;1.000849690384501f;0.842908617709392f
116;0.804988539342607f;0.000000000001237f;-11.907782556637263f;0.000000000005793f;-11.237094018513108f;0.995862993337631f;0.735902364031923f
117;0.804988539343626f;0.000000000001019f;-11.991699782799213f;0.000000000004774f;-11.321141514824538f;1.002636420041018f;0.886087664016536f
118;0.804988539344466f;0.000000000000840f;-12.075838250018002f;0.000000000003934f;-11.405169589354511f;0.999828952074233f;0.819993438853871f
119;0.804988539345158f;0.000000000000692f;-12.159962325526495f;0.000000000003242f;-11.489177173563853f;1.002576212003675f;0.885086759497707f
120;0.804988539345728f;0.000000000000570f;-12.244303122488112f;0.000000000002672f;-11.573113679915974f;0.997757575207631f;0.773377266943811f
121;0.804988539346197f;0.000000000000469f;-12.328454791555615f;0.000000000002203f;-11.657004324893657f;0.998873025707154f;0.798085308276723f
122;0.804988539346584f;0.000000000000387f;-12.412511623855378f;0.000000000001816f;-11.740859566336162f;0.999858685364194f;0.820731262761559f
123;0.804988539346903f;0.000000000000319f;-12.496556577694497f;0.000000000001497f;-11.824674412686582f;0.995318464993758f;0.720850889142735f
124;0.804988539347166f;0.000000000000263f;-12.580208072140120f;0.000000000001234f;-11.908524039960316f;1.010978458827581f;1.131205316111348f
125;0.804988539347382f;0.000000000000216f;-12.664777931073383f;0.000000000001018f;-11.992220434520982f;0.990849026015350f;0.631406406753503f
126;0.804988539347560f;0.000000000000178f;-12.748573893427659f;0.000000000000840f;-12.075895669794894f;1.003961161087728f;0.925489004060921f
127;0.804988539347707f;0.000000000000147f;-12.832701785087322f;0.000000000000693f;-12.159474784560640f;0.994501883791741f;0.701098386422708f
128;0.804988539347829f;0.000000000000121f;-12.916367131822286f;0.000000000000571f;-12.243035601940834f;1.032680869972432f;2.166299560968901f
129;0.804988539347928f;0.000000000000099f;-13.002766734875092f;0.000000000000472f;-12.325996514339744f;0.000000000000000f;0.000000000000000f
