n;x_n;|x_n - x_n-1|;log(|x_n - x_n-1|);|x_n - x_r|;log(|x_n - x_r|);alpha;lambda
1;0.889762864119809f;0.000000000000000f;-1.#INF00000000000f;0.010237135880191f;-1.989821532170326f;0.000000000000000f;0.000000000000000f
2;0.902171641383713f;0.012408777263904f;-1.906271010902693f;0.002171641383713f;-2.663211890838963f;0.000000000000000f;0.000000000000000f
3;0.899999282678135f;0.002172358705578f;-2.663068461315850f;0.000000717321865f;-6.144285930965517f;4.599922050318845f;1275350.614091385600000f
4;0.900000000013527f;0.000000717335392f;-6.144277741096412f;0.000000000013527f;-10.868789186598031f;1.357146630897017f;0.002950506997949f
5;0.900000000000000f;0.000000000013527f;-10.868789186598031f;0.000000000000000f;-1.#INF00000000000f;1.#INF00000000000f;-1.#IND00000000000f
6;0.900000000000000f;0.000000000000000f;-1.#INF00000000000f;0.000000000000000f;-1.#INF00000000000f;0.000000000000000f;0.000000000000000f
